Time,Altitude,OrientX,OrientY,OrientZ,VelX,VelY,VelZ,Battery,TimeSinceStartup,Longitude,Latitude,State,Frame,Longitude Change,Latitude Change,RSSI,SNR,SensorByte
03:27:29.199423,2347.522705078125,101.47900390625,88.08224487304688,140.3168182373047,0.00031355954706668854,0.000134320929646492,-0.0017351116985082626,15.148750305175781,13.070219039916992,0.00037881426396779716,-0.0,4,12,0.00037881426396779716,-0.0,-50,9.75,248
03:27:30.215121,2347.545654296875,101.17572021484375,88.08255004882812,140.06204223632812,-0.00038497336208820343,0.00020271050743758678,0.0006690174341201782,15.151249885559082,14.087084770202637,0.0002573249803390354,0.0,4,13,0.0002573249803390354,0.0,-49,10.0,248
03:27:31.216121,2347.51513671875,101.1587905883789,88.08295440673828,140.0475311279297,-0.0006580585613846779,0.0017619323916733265,0.001618415117263794,15.148750305175781,15.087188720703125,0.0002809753059409559,-0.0,4,14,0.0002809753059409559,-0.0,-50,10.0,248
03:27:32.219150,2347.52978515625,100.8400650024414,88.08592224121094,139.6857452392578,-0.0011745858937501907,0.00044001336209475994,-0.0005570091307163239,15.148750305175781,16.086809158325195,0.0001250159548362717,0.0,4,15,0.0001250159548362717,0.0,-50,9.75,248
03:27:33.221292,2347.51513671875,101.00221252441406,88.08940124511719,139.82850646972656,-0.00028667692095041275,0.001372928498312831,-7.089599967002869e-05,15.147500038146973,17.086824417114258,0.0001230910565936938,-0.0,4,16,0.0001230910565936938,-0.0,-50,10.0,248
03:27:34.265142,2347.52978515625,100.92615509033203,88.09217071533203,139.74551391601562,0.00013805273920297623,-0.0009302144171670079,-2.7177855372428894e-05,15.148750305175781,18.136812210083008,1.463599892304046e-05,-0.0,4,17,1.463599892304046e-05,-0.0,-50,10.0,248
03:27:35.266090,2347.49658203125,100.91091918945312,88.09884643554688,139.73843383789062,-0.00046403519809246063,-0.0010257899994030595,-0.0006281528621912003,15.147500038146973,19.136844635009766,8.224230259656906e-05,-0.0,4,18,8.224230259656906e-05,-0.0,-50,9.75,248
03:27:36.268210,2347.512451171875,100.8759536743164,88.09237670898438,139.72796630859375,-0.00067922193557024,0.0001096546184271574,-0.00026377663016319275,15.151249885559082,20.137069702148438,8.57407067087479e-05,-0.0,4,19,8.57407067087479e-05,-0.0,-50,10.25,248
03:27:37.271124,2347.505859375,100.77811431884766,88.08724975585938,139.6403350830078,-0.0012481920421123505,-0.0018255612812936306,-0.0009106248617172241,15.148750305175781,21.136857986450195,9.121927723754197e-05,-0.0,4,20,9.121927723754197e-05,-0.0,-51,10.0,248
03:27:38.271412,2347.52978515625,100.78443908691406,88.08683776855469,139.64697265625,-0.00029154960066080093,-0.0001778104342520237,0.00019365549087524414,15.15250015258789,22.13707160949707,-2.8716898668790236e-05,0.0,4,21,-2.8716898668790236e-05,0.0,-51,10.5,248
03:27:39.298180,2347.56396484375,100.68766021728516,88.0965805053711,139.5516357421875,0.0011635161936283112,0.00010342895984649658,-0.00022672861814498901,15.151249885559082,23.170198440551758,-0.0002856206556316465,0.0,4,22,-0.0002856206556316465,0.0,-50,9.75,248
03:27:40.314167,2347.579833984375,100.98910522460938,88.09832763671875,139.85830688476562,0.000256500206887722,0.0006484193727374077,0.00014711730182170868,15.140000343322754,24.187068939208984,4.330291994847357e-05,-0.0,4,23,4.330291994847357e-05,-0.0,-50,10.0,248
03:27:41.317194,2347.55908203125,100.99784088134766,88.08919525146484,139.8632049560547,0.0004092622548341751,2.373591996729374e-05,0.00042143650352954865,15.151249885559082,25.187068939208984,2.9558816095232032e-05,0.0,4,24,2.9558816095232032e-05,0.0,-51,10.25,248
03:27:42.348179,2347.55078125,100.97224426269531,88.09524536132812,139.83619689941406,-0.000309675931930542,-0.0007800474995747209,0.00025138258934020996,15.148750305175781,26.22020149230957,0.00010510314314160496,-0.0,4,25,0.00010510314314160496,-0.0,-50,9.5,248
03:27:43.349128,2347.569091796875,100.9271469116211,88.09319305419922,139.80397033691406,-0.0006292648613452911,-0.0013538547791540623,0.0003498401492834091,15.151249885559082,27.220211029052734,0.00011508155876072124,0.0,4,26,0.00011508155876072124,0.0,-51,10.0,248
03:27:44.352205,2347.577392578125,100.9660873413086,88.09349822998047,139.84674072265625,0.0004471689462661743,-0.0008423174731433392,-0.000571858137845993,15.151249885559082,28.220212936401367,2.4034668513195356e-06,0.0,4,27,2.4034668513195356e-06,0.0,-51,10.0,248
03:27:45.364117,2347.569091796875,100.99235534667969,88.08715057373047,139.86471557617188,-0.0002827150747179985,-6.774649955332279e-05,-0.0019527692347764969,15.154999732971191,29.23706817626953,0.0001156759899458848,0.0,4,28,0.0001156759899458848,0.0,-50,9.75,248
03:27:46.367459,2347.56005859375,101.01177978515625,88.09494018554688,139.8726348876953,-0.0004863198846578598,-0.00025497470051050186,-0.0007453858852386475,15.148750305175781,30.236862182617188,0.00015574171266052872,-0.0,4,29,0.00015574171266052872,-0.0,-50,9.5,248
03:27:47.369239,2347.522705078125,101.02587890625,88.08683776855469,139.8948974609375,-0.0013834228739142418,-0.00010600779205560684,-0.0012098215520381927,15.138750076293945,31.237064361572266,0.00028223448316566646,-0.0,4,30,0.00028223448316566646,-0.0,-50,10.5,248
03:27:48.370235,2347.557373046875,100.94770050048828,88.09268188476562,139.85951232910156,-0.000898461788892746,-0.0017528452444821596,-0.0005447305738925934,15.147500038146973,32.23709487915039,0.00016446466906927526,0.0,4,31,0.00016446466906927526,0.0,-50,9.75,248
03:27:49.373225,2347.5498046875,101.00628662109375,88.0979232788086,139.94017028808594,0.00025833770632743835,0.0012137675657868385,-0.0005764290690422058,15.151249885559082,33.237098693847656,5.509102265932597e-05,-0.0,4,32,5.509102265932597e-05,-0.0,-50,10.0,248
03:27:50.397376,2347.59228515625,100.91346740722656,88.09761047363281,139.79270935058594,-0.00024031288921833038,-2.0936597138643265e-05,-0.0005072895437479019,15.140000343322754,34.270198822021484,5.4942149290582165e-05,-0.0,4,33,5.4942149290582165e-05,-0.0,-49,10.25,248
03:27:51.401238,2347.600830078125,60.34406280517578,82.71139526367188,100.2818603515625,0.042017657309770584,-0.012124198488891125,0.0842728465795517,15.151249885559082,35.270198822021484,-0.033837176859378815,0.0,4,34,-0.033837176859378815,0.0,-49,10.0,248
03:27:52.415195,2347.610107421875,98.01154327392578,87.99279022216797,138.5415802001953,0.001336636021733284,0.0001390315592288971,0.000577462837100029,15.148750305175781,36.28704833984375,-0.0021814079955220222,-0.0,4,35,-0.0021814079955220222,-0.0,-50,10.5,248
03:27:53.416462,2347.577392578125,98.8730239868164,87.99825286865234,138.65689086914062,-0.0006997948512434959,-0.0007269305642694235,-0.0005599875003099442,15.147500038146973,37.287052154541016,-0.001313635497353971,-0.0,4,36,-0.001313635497353971,-0.0,-50,9.5,248
03:27:54.419171,2347.577392578125,99.46501922607422,88.00933074951172,138.73236083984375,0.0005641374737024307,0.0005045863799750805,0.0001811143010854721,15.145000457763672,38.286869049072266,-0.0010635501239448786,0.0,4,37,-0.0010635501239448786,0.0,-50,10.5,248
03:27:55.449183,2347.575927734375,99.54862976074219,88.01091003417969,138.63150024414062,-0.00043819472193717957,-0.0008678272133693099,-9.385496377944946e-05,15.138750076293945,39.320228576660156,-0.0008747195242904127,0.0,4,38,-0.0008747195242904127,0.0,-50,10.5,248
03:27:56.465248,2347.589111328125,99.29900360107422,88.01583099365234,138.5643310546875,-0.0010007396340370178,3.032991662621498e-05,0.0009243451058864594,15.146249771118164,40.33707046508789,-0.0009763269918039441,0.0,4,39,-0.0009763269918039441,0.0,-50,10.0,248
03:27:57.467230,2347.60888671875,99.14668273925781,88.01681518554688,138.4423065185547,-0.001038283109664917,0.00048497156240046024,0.00017115846276283264,15.148750305175781,41.33686447143555,-0.0010780709562823176,-0.0,4,40,-0.0010780709562823176,-0.0,-50,10.25,248
03:27:58.468200,2347.599853515625,99.47702026367188,88.02581787109375,138.56588745117188,-4.184432327747345e-05,0.0002531616482883692,-0.001076873391866684,15.147500038146973,42.33710479736328,-0.0009763717534951866,-0.0,4,41,-0.0009763717534951866,-0.0,-50,10.0,248
03:27:59.471212,2347.6181640625,99.62464141845703,88.02711486816406,138.6461181640625,-0.001461138017475605,0.00031990883871912956,-0.0019488092511892319,15.138750076293945,43.337074279785156,-0.0006885287584736943,-0.0,4,42,-0.0006885287584736943,-0.0,-50,10.25,248
03:28:00.472491,2347.620849609375,99.77731323242188,88.02800750732422,138.76170349121094,-0.0008471310138702393,0.0004760816227644682,0.00018324889242649078,15.147500038146973,44.33710479736328,-0.0006614793674089015,-0.0,4,43,-0.0006614793674089015,-0.0,-50,10.25,248
03:28:01.475268,2347.61669921875,99.79102325439453,88.02700805664062,138.77413940429688,-0.00029718782752752304,0.0005019125528633595,-0.0003773123025894165,15.147500038146973,45.33704376220703,-0.0007233750075101852,0.0,4,44,-0.0007233750075101852,0.0,-50,9.75,248
03:28:02.478328,2347.48486328125,99.81904602050781,88.03406524658203,138.7942657470703,-0.0015173573046922684,-0.00044970004819333553,-4.345923662185669e-05,15.147500038146973,46.33706283569336,-0.0005451370379887521,-0.0,4,45,-0.0005451370379887521,-0.0,-50,9.75,248
03:28:03.479560,2347.38037109375,99.8058853149414,88.03118133544922,138.7936553955078,-0.002092071808874607,0.0008904288988560438,-0.0007065646350383759,15.146249771118164,47.337093353271484,-0.00047963662655092776,0.0,4,46,-0.00047963662655092776,0.0,-50,10.5,248
03:28:04.498267,2347.286865234375,99.7281494140625,88.03147888183594,138.70176696777344,0.0004371674731373787,0.0006490997038781643,-0.000656716525554657,15.147500038146973,48.370216369628906,-0.0008628528448753059,-0.0,4,47,-0.0008628528448753059,-0.0,-50,10.25,248
03:28:05.515211,2347.4599609375,99.63501739501953,88.03218078613281,138.60870361328125,-0.0023808879777789116,0.00010692630894482136,5.182996392250061e-05,15.149999618530273,49.38685989379883,-0.0005616980488412082,0.0,4,48,-0.0005616980488412082,0.0,-50,10.5,248
03:28:06.517270,2347.80712890625,99.59661865234375,88.03177642822266,138.5741424560547,-0.0002077799290418625,-0.00022074091248214245,-2.8809532523155212e-05,15.147500038146973,50.38685989379883,-0.0008710812544450164,-0.0,4,49,-0.0008710812544450164,-0.0,-50,10.0,248
03:28:07.520262,2347.800537109375,99.70565795898438,88.03565979003906,138.68743896484375,-0.0005425866693258286,-0.00019427109509706497,-0.00035171397030353546,15.146249771118164,51.38689041137695,-0.0007512288284488022,0.0,4,50,-0.0007512288284488022,0.0,-50,9.75,248
03:28:08.566302,2347.691162109375,99.57839965820312,88.03546142578125,138.5656280517578,-0.0009189695119857788,0.00042992085218429565,0.00011678971350193024,15.146249771118164,52.43711471557617,-0.0007913798908703029,-0.0,4,51,-0.0007913798908703029,-0.0,-51,10.25,248
03:28:09.568240,2347.668212890625,99.54090118408203,88.04425048828125,138.53567504882812,-0.0007214061915874481,-0.00016669859178364277,0.0004571080207824707,15.147500038146973,53.43708419799805,-0.0008433120674453676,0.0,4,52,-0.0008433120674453676,0.0,-50,9.75,248
03:28:10.569257,2347.691162109375,99.5557632446289,88.04714965820312,138.5491485595703,-0.002116819843649864,-0.00040516071021556854,0.000568099319934845,15.146249771118164,54.43706512451172,-0.0006515048444271088,0.0,4,53,-0.0006515048444271088,0.0,-50,10.0,248
03:28:11.571227,2347.6513671875,99.83854675292969,88.03486633300781,138.83653259277344,-0.0012062489986419678,0.0007953511085361242,0.00043166056275367737,15.147500038146973,55.43707275390625,-0.0005719306063838303,-0.0,4,54,-0.0005719306063838303,-0.0,-51,10.0,248
03:28:12.615573,2347.640625,99.95812225341797,88.03955078125,138.95703125,-0.000636260025203228,-0.0012518989387899637,-0.0013525988906621933,15.146249771118164,56.48687744140625,-0.0005623262841254473,-0.0,4,55,-0.0005623262841254473,-0.0,-50,9.75,248
